tab 	specimens
analysts	citations	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study			Y216_chrm	0.4	322.9	62.8	0.8	1	9	0	Y216-10a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-21 16:29:55	u	Rhyolite	823	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y216-10	pmagpy-4.2.108: demag_gui	Y216-10a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-10		Y216-10a
	This study			Y216_chrm	1.2	315.4	59.9	0.6	1	12	0	Y216-11a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 18:43:19	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-11	pmagpy-4.2.108: demag_gui	Y216-11a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-11		Y216-11a
	This study			Y216_chrm	0	329	61.1	0.5	1	16	0	Y216-1a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-29 12:51:32	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y216-1	pmagpy-4.2.108: demag_gui	Y216-1a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-1		Y216-1a
	This study			Y216_chrm	0.5	333	65	0.4	1	13	0	Y216-2a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 17:38:44	u	Rhyolite	0.08	0.0025	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-2	pmagpy-4.2.108: demag_gui	Y216-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-2		Y216-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-2		Y216-2b
	This study			Y216_chrm	1.2	333.6	66.5	0.9	1	13	0	Y216-3a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-29 16:07:24	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-3	pmagpy-4.2.108: demag_gui	Y216-3a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-3		Y216-3a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-3		Y216-3b
	This study			Y216_chrm	0.4	332.9	65.7	0.6	1	13	0	Y216-4a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 18:55:37	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-4	pmagpy-4.2.108: demag_gui	Y216-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-4		Y216-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-4		Y216-4b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-5		Y216-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-6		Y216-6a
	This study			Y216_chrm	0.8	331.5	67	0.5	1	12	0	Y216-6a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 18:10:47	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-6	pmagpy-4.2.108: demag_gui	Y216-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-7		Y216-7a
	This study			Y216_chrm	0.4	324.7	66.6	0.5	1	7	0	Y216-7a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-18 17:12:22	u	Rhyolite	788	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y216-7	pmagpy-4.2.108: demag_gui	Y216-7a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-7		Y216-7b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-8		Y216-8a
	This study			Y216_chrm	0.4	323.5	65.4	0.4	1	13	0	Y216-8a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 19:30:33	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-8	pmagpy-4.2.108: demag_gui	Y216-8a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-8		Y216-8b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-9		Y216-9a
	This study			Y216_chrm	0.2	321.2	65.3	0.4	1	11	0	Y216-9a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 08:58:23	u	Rhyolite	853	523	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y216-9	pmagpy-4.2.108: demag_gui	Y216-9a
	This study			Y216_chrm	0.6	324.1	64.7	0.6	1	15	0	Y216-9b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 12:54:16	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y216-9	pmagpy-4.2.108: demag_gui	Y216-9b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y216-9		Y216-9b
	This study			Y217_chrm	1	330	60.9	1.7	1	4	0	Y217-10a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-20 13:17:55	u	Rhyolite	0.08	0.04	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y217-10	pmagpy-4.2.108: demag_gui	Y217-10a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-10		Y217-10a
	This study			Y217_chrm	0.9	340.9	65.2	4	1	5	0	Y217-1a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-20 12:13:45	u	Rhyolite	0.08	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y217-1	pmagpy-4.2.108: demag_gui	Y217-1a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-1		Y217-1a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-2		Y217-2a
	This study			Y217_chrm	0	332.1	65.3	1.1	1	9	0	Y217-2a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-29 16:41:52	u	Rhyolite	0.08	0.015	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y217-2	pmagpy-4.2.108: demag_gui	Y217-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-2		Y217-2b
	This study			Y217_chrm	1.5	309.9	61.6	1.2	1	9	0	Y217-2b_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 09:00:35	u	Rhyolite	853	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y217-2	pmagpy-4.2.108: demag_gui	Y217-2b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-3		Y217-3a
	This study			Y217_chrm	1	341.1	62.9	1	1	8	0	Y217-3a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-06 16:00:27	u	Rhyolite	0.08	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y217-3	pmagpy-4.2.108: demag_gui	Y217-3a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-4		Y217-4a
	This study			Y217_chrm	3.1	308.7	60.1	0.6	1	9	0	Y217-4a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-21 16:32:14	u	Rhyolite	823	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y217-4	pmagpy-4.2.108: demag_gui	Y217-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-5		Y217-5a
	This study	328.6	61.9	Y217_chrm		171.3	26.2	1.2	1	16	0	Y217-5a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-06 14:06:37	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFP:DA-DIR-GEO	g	Y217-5	pmagpy-4.2.108: demag_gui	Y217-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-6		Y217-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-6		Y217-6b
	This study	327.1	64.3	Y217_chrm		34.3	-10.6	4.5	1	14	0	Y217-6b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-20 12:45:44	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFP:DA-DIR-GEO	g	Y217-6	pmagpy-4.2.108: demag_gui	Y217-6b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-7		Y217-7a
	This study			Y217_chrm	0.6	315.8	66.5	0.5	1	9	0	Y217-7a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-31 13:28:44	u	Rhyolite	0.08	0.015	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y217-7	pmagpy-4.2.108: demag_gui	Y217-7a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-7		Y217-7b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-8		Y217-8a
	This study			Y217_chrm	0.6	324.9	67.4	1.1	1	9	0	Y217-8a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 19:15:40	u	Rhyolite	0.08	0.0125	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y217-8	pmagpy-4.2.108: demag_gui	Y217-8a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y217-9		Y217-9a
	This study			Y217_chrm	1.8	335.3	68	1.4	1	5	0	Y217-9a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-06 17:02:33	u	Rhyolite	0.08	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y217-9	pmagpy-4.2.108: demag_gui	Y217-9a
