tab 	specimens
analysts	citations	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-3		Y211-3b
	This study			Y211_chrm	1.3	342.5	74.3	0.7	1	9	0	Y211-3b_LP-DIR-AF	Igneous:Extrusive	Lava Flow		u	Rhyolite	0.08	0.015	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y211-3	pmagpy-4.2.108: demag_gui	Y211-3b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-4		Y211-4a
	This study			Y211_chrm	0.8	352.8	53.3	1.7	1	7	0	Y211-4a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-18 14:38:38	u	Rhyolite	773	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y211-4	pmagpy-4.2.108: demag_gui	Y211-4a
	This study			Y211_chrm	1.6	343.6	52.3	1	1	11	0	Y211-5a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-05 13:09:17	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y211-5	pmagpy-4.2.108: demag_gui	Y211-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-5		Y211-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-6		Y211-6a
	This study			Y211_chrm	2.5	295.7	79.3	1.1	1	7	0	Y211-6a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-21 16:38:58	u	Rhyolite	0.08	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	b	Y211-6	pmagpy-4.2.108: demag_gui	Y211-6a
	This study			Y211_chrm	0.2	320.9	66.3	1.1	1	8	0	Y211-7a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-05 11:27:20	u	Rhyolite	773	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y211-7	pmagpy-4.2.108: demag_gui	Y211-7a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-7		Y211-7a
	This study			Y211_chrm	1.1	326.4	66.7	0.8	1	11	0	Y211-7b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-30 16:57:38	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y211-7	pmagpy-4.2.108: demag_gui	Y211-7b
