tab 	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
AFP	31.2	0	0	90	This study	-79	Igneous:Extrusive	Lava Flow	0.8	Rhyolite	SO-CMD-NORTH	Y215-4	Y215
AFP	33.9	0	0	90	This study	-81	Igneous:Extrusive	Lava Flow	0.9	Rhyolite	SO-CMD-NORTH	Y215-5	Y215
AFP	359.7	0	0	90	This study	-65	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y215-6	Y215
AFP	323.4	0	0	90	This study	-44	Igneous:Extrusive	Lava Flow	0.11	Rhyolite	SO-CMD-NORTH	Y215-7	Y215
AFP	299.3	0	0	90	This study	-88	Igneous:Extrusive	Lava Flow	0.12	Rhyolite	SO-CMD-NORTH	Y215-8	Y215
AFP	259.1	0	0	90	This study	-65	Igneous:Extrusive	Lava Flow	0.13	Rhyolite	SO-CMD-NORTH	Y215-9	Y215
AFP	308.1	0	0	90	This study	-68	Igneous:Extrusive	Lava Flow	0.14	Rhyolite	SO-CMD-NORTH	Y215-10	Y215
AFP	325.9	0	0	90	This study	-33	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y216-1	Y216
AFP	280.9	0	0	90	This study	-33	Igneous:Extrusive	Lava Flow	0.3	Rhyolite	SO-CMD-NORTH	Y216-2	Y216
AFP	288.9	0	0	90	This study	-69	Igneous:Extrusive	Lava Flow	0.6	Rhyolite	SO-CMD-NORTH	Y216-3	Y216
AFP	347.9	0	0	90	This study	-94	Igneous:Extrusive	Lava Flow	0.8	Rhyolite	SO-CMD-NORTH	Y216-4	Y216
AFP	45.9	0	0	90	This study	-6	Igneous:Extrusive	Lava Flow	0.9	Rhyolite	SO-CMD-NORTH	Y216-5	Y216
AFP	0.9	0	0	90	This study	-26	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y216-6	Y216
AFP	312.9	0	0	90	This study	-35	Igneous:Extrusive	Lava Flow	0.11	Rhyolite	SO-CMD-NORTH	Y216-7	Y216
AFP	311.9	0	0	90	This study	-31	Igneous:Extrusive	Lava Flow	0.12	Rhyolite	SO-CMD-NORTH	Y216-8	Y216
AFP	6.9	0	0	90	This study	-33	Igneous:Extrusive	Lava Flow	0.13	Rhyolite	SO-CMD-NORTH	Y216-9	Y216
AFP	348.9	0	0	90	This study	-82	Igneous:Extrusive	Lava Flow	0.14	Rhyolite	SO-CMD-NORTH	Y216-10	Y216
AFP	30.9	0	0	90	This study	-35	Igneous:Extrusive	Lava Flow	0.15	Rhyolite	SO-CMD-NORTH	Y216-11	Y216
AFP	138.4	11.4	0	101.4	This study	-59	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y217-1	Y217
AFP	82.4	11.4	0	101.4	This study	-42	Igneous:Extrusive	Lava Flow	0.3	Rhyolite	SO-CMD-NORTH	Y217-2	Y217
AFP	117.4	11.4	0	101.4	This study	-88	Igneous:Extrusive	Lava Flow	0.6	Rhyolite	SO-CMD-NORTH	Y217-3	Y217
AFP	121.8	11.4	0	101.4	This study	-88	Igneous:Extrusive	Lava Flow	0.8	Rhyolite	SO-CMD-NORTH	Y217-4	Y217
AFP	137.8	11.4	0	101.4	This study	-83	Igneous:Extrusive	Lava Flow	0.9	Rhyolite	SO-CMD-NORTH	Y217-5	Y217
AFP	82.8	11.4	0	101.4	This study	-83	Igneous:Extrusive	Lava Flow	0.1	Rhyolite	SO-CMD-NORTH	Y217-6	Y217
AFP	92.4	11.4	0	101.4	This study	-26	Igneous:Extrusive	Lava Flow	0.11	Rhyolite	SO-CMD-NORTH	Y217-7	Y217
AFP	76.4	11.4	0	101.4	This study	-86	Igneous:Extrusive	Lava Flow	0.12	Rhyolite	SO-CMD-NORTH	Y217-8	Y217
AFP	86.8	11.4	0	101.4	This study	-68	Igneous:Extrusive	Lava Flow	0.13	Rhyolite	SO-CMD-NORTH	Y217-9	Y217
AFP	60.4	11.4	0	101.4	This study	-78	Igneous:Extrusive	Lava Flow	0.14	Rhyolite	SO-CMD-NORTH	Y217-10	Y217
